worker_name,age,years_experience,monthly_income,avg_claims_per_year,city_risk_index,weather_exposure_index,safety_score,premium
Tracey Sandoval,33,6.7,34880.45,3.09,0.89,0.17,0.8,2384.04
Jonathan Garcia,46,14.7,79040.56,2.04,1.25,0.92,0.71,2600.26
Dawn Bishop,47,16.9,52419.8,2.96,1.47,0.32,0.47,2844.71
Molly Smith PhD,53,22.5,21673.41,2.86,0.81,0.51,0.32,2378.07
Brent Ortiz,31,7.6,65084.11,1.56,0.94,0.75,0.47,2358.58
Brian Williams,33,10.6,19965.69,0.42,1.79,0.73,0.58,2349.56
Linda Foster,41,14.7,77889.18,0.02,1.31,0.46,0.55,1816.82
Christopher Crawford MD,37,9.2,42408.35,0.45,1.78,0.64,0.58,2185.14
Douglas Miller,62,40.8,50570.9,0.33,1.57,0.91,1.0,1759.97
Melissa Brown,50,19.7,22481.08,0.54,1.63,0.53,0.56,2086.45
Jason Murphy,18,0.0,47533.43,3.26,1.06,0.64,1.0,2539.18
Shannon Reed,37,14.1,25506.71,1.09,0.95,0.2,0.38,1637.2
Darren Gardner,52,23.7,32820.98,2.19,1.33,0.75,0.14,2774.2
Jasmine Goodman,29,2.1,32127.48,1.33,1.22,0.19,0.71,1979.26
Pamela Booker,37,12.0,17530.94,0.7,0.9,0.41,0.8,1441.47
Kevin Johnson,40,8.0,86088.96,0.84,1.85,0.27,0.69,2420.36
Cristina Thompson,34,8.1,87503.19,1.69,1.78,0.19,0.78,2531.01
Patrick Black,45,17.1,23889.0,3.83,0.85,0.1,0.22,2373.15
Katie Eaton,21,2.7,46646.38,0.21,1.41,0.32,0.39,1991.85
Mark Goodwin,22,0.0,47453.32,2.71,1.23,0.94,0.82,2929.26
Kelly Giles,42,11.9,82513.48,3.78,1.08,0.97,0.4,3209.3
Melissa Lewis,47,16.1,16739.82,3.09,1.4,0.66,0.56,2854.89
Stephanie Wyatt,51,19.6,77404.94,0.75,1.26,0.41,0.71,1729.83
David Gray,47,18.9,13297.74,3.02,1.45,0.52,0.38,2789.09
William Ross,28,2.4,41470.2,1.44,0.89,0.58,0.86,1892.89
Sarah Nelson,37,16.9,56489.01,3.28,1.24,0.55,0.42,2730.42
Brittany Walker,30,9.4,70267.22,2.71,0.95,0.11,0.16,2384.98
Emily Chavez,45,20.9,62050.83,1.69,1.65,0.13,0.61,2110.22
Denise Mayo,62,21.3,65918.03,1.12,1.92,0.85,0.54,2656.26
Debbie Goodman,35,13.2,84525.12,3.43,0.92,0.94,0.25,2941.55
Jamie Wilson,59,32.2,75877.14,2.3,1.09,0.93,0.57,2502.69
Tanner Jackson,27,7.8,46138.75,2.22,1.55,0.85,0.13,3154.93
Jennifer Ford,43,18.9,65025.34,1.06,0.82,0.26,0.76,1537.32
Aaron Brown,46,16.1,51953.56,2.13,1.37,0.89,0.66,2513.1
Michael Webster,50,23.6,42387.1,0.85,1.58,0.11,0.46,1933.2
Stephanie Koch,27,1.5,26183.89,0.44,0.95,0.86,0.27,1982.04
Sabrina Reed,25,2.9,79079.82,3.33,1.94,0.4,0.12,3360.53
Christine Sawyer,34,6.1,46578.54,0.18,1.68,0.79,0.66,2337.57
Joseph Norman,18,0.0,12735.88,1.52,1.09,0.24,0.21,2477.23
James Skinner,55,25.8,69811.86,2.23,0.96,0.44,0.29,2134.78
Phillip Sanchez,50,17.1,83118.24,2.63,0.82,0.18,0.97,1935.78
Kevin Powers,57,35.8,46629.32,0.51,1.89,0.59,0.62,1998.77
Lori Jackson,21,0.0,41821.66,3.47,1.94,0.21,0.92,2755.37
Kenneth Stein,35,10.7,19091.86,2.3,1.48,0.46,0.14,2797.73
Teresa Pierce,38,16.9,58003.37,3.7,1.92,0.78,0.26,3520.7
Christopher Mcdonald,28,8.8,66057.3,0.39,1.84,0.57,0.51,2493.48
Daniel Olson,55,33.6,16629.66,2.5,0.88,0.65,0.76,2094.17
Terry Gill,48,21.7,76754.04,2.98,1.11,0.55,0.38,2797.3
Roy Stone,29,8.7,78136.37,2.17,1.93,0.9,0.64,2919.87
Katelyn Huang,49,20.9,32652.14,1.1,1.03,0.99,0.72,1969.4
Stephanie Sims,28,7.4,34979.93,3.74,1.57,0.21,0.28,3220.23
Edward Payne,62,22.7,64017.86,1.43,1.96,0.45,0.73,2372.93
Annette Peters,19,0.0,34703.11,1.09,1.48,0.92,0.62,2461.97
Dr. Leslie Bennett PhD,55,28.6,53591.7,3.22,1.82,0.8,0.37,3162.01
Monica Valdez,28,2.1,40962.71,3.15,1.01,0.48,0.28,2732.72
Thomas Thomas,58,39.0,55251.47,3.3,1.92,0.6,0.46,3236.03
Nicholas James,60,26.4,73344.98,1.31,0.84,0.96,0.75,1819.05
Tina Wilson,65,40.9,88622.81,3.56,1.74,0.84,0.34,3200.92
Adam Tucker,54,33.7,20735.19,3.37,0.86,0.98,0.36,2863.43
Clinton Merritt,41,17.5,51578.02,0.81,0.83,0.57,0.19,1879.74
Michael Johnson,48,19.1,34166.42,3.08,1.9,0.87,0.62,3296.13
Susan Parker,37,6.8,57007.81,3.87,1.07,0.59,1.0,2831.5
Willie Miller,47,18.5,77971.29,3.96,1.97,0.36,0.12,3782.67
Dennis Carson,64,37.4,60583.39,1.66,1.4,0.82,0.28,2308.57
Belinda Cook,37,8.7,31797.57,0.21,0.81,0.66,0.54,1819.18
Kaylee Pratt,30,11.6,20281.03,3.73,1.48,0.49,0.31,3258.46
Catherine Mcdaniel,37,15.1,17268.22,3.92,1.24,0.29,0.98,2439.71
Jesse Carter,59,23.5,54557.82,0.44,1.44,0.74,0.13,2265.72
Anna Miller,30,9.2,89538.19,0.94,1.93,0.25,0.34,2644.8
Jeffrey Willis,27,0.0,35306.08,3.64,1.9,0.46,0.97,3295.66
Barbara Grant,34,10.9,29420.55,0.05,1.99,0.58,0.85,2339.82
Cheyenne Cox,34,8.9,71819.51,3.98,1.04,0.89,0.98,2933.04
Joseph Phillips,44,21.5,67118.48,0.42,1.7,0.5,0.35,2267.28
Richard Keller,54,22.6,39428.07,0.68,1.85,0.27,0.71,2033.93
Anthony Moody,50,21.5,54490.92,3.78,1.28,0.18,0.63,2827.63
Alejandro Greene,27,3.4,19782.59,2.21,0.8,0.17,0.53,1804.88
Dylan Gomez,48,22.0,23939.75,3.69,1.27,0.98,0.98,2821.6
Emily Mills,23,0.0,38813.92,1.65,1.49,0.95,0.55,2615.82
Brittany Zuniga,52,20.6,40798.73,1.31,1.07,0.16,0.35,1807.6
Andrew Burton,62,25.0,32499.15,1.75,1.95,0.39,0.37,2627.54
Victor Dennis,21,0.6,65295.89,0.08,1.23,0.56,0.74,1829.76
Vicki Young,47,14.5,37686.85,1.25,1.65,0.14,0.27,2369.16
Shannon Rodriguez,21,1.9,16795.81,1.72,1.6,0.15,0.27,2496.82
Jamie Smith,63,30.8,51104.61,0.24,1.93,0.34,0.47,2224.36
Meagan Mendoza,18,0.0,80531.48,0.17,1.17,0.7,0.7,2030.9
Patricia Byrd,47,15.6,81106.57,0.09,0.93,0.67,0.41,1686.17
Natalie Blanchard,55,22.9,38481.27,1.8,1.34,0.3,0.88,2023.24
Lisa Miller,40,16.5,12200.05,2.04,1.38,0.8,0.61,2751.86
Cristian Ruiz,20,0.0,78883.74,0.17,1.71,0.46,0.67,2172.17
Thomas Smith,24,0.0,38321.07,0.11,1.97,0.46,0.87,2248.64
Shannon Hall,31,2.8,54785.41,3.49,1.28,0.94,0.26,3318.98
Savannah Blackburn,19,0.0,68729.08,1.16,0.87,0.3,0.35,1597.89
Mike Sloan,48,15.0,21554.99,3.19,1.43,0.32,0.82,2740.99
Patrick Scott,53,25.3,82451.12,1.24,1.91,0.3,0.71,2392.5
Justin Williams,55,25.9,52401.9,2.16,1.11,0.59,0.51,2101.12
Paula Chavez,28,0.0,14432.94,1.48,1.83,0.13,0.68,2320.92
Lauren Cummings,32,6.9,47129.2,3.6,1.01,0.16,0.95,2280.8
Amanda Massey,51,18.7,63571.57,2.12,1.3,0.62,0.23,2571.92
Sherri Reeves,23,0.0,45030.88,1.89,1.31,0.98,0.67,2563.87
Dr. Kenneth Davis,18,0.0,77020.93,3.37,0.8,0.33,0.32,2722.9
Shawn Scott,22,0.0,56007.19,0.18,1.8,0.97,0.49,2460.11
Mrs. Robin Noble DDS,21,2.0,62559.24,3.32,1.15,0.65,0.38,3026.49
Wesley Harrington,27,9.0,59373.78,1.72,1.05,0.38,0.23,2081.84
Kaitlyn Salazar,61,27.4,31812.19,3.96,1.38,0.63,0.23,3037.02
Holly Henderson,25,3.6,41188.86,1.57,1.05,0.15,0.87,1644.91
Mitchell Donaldson,32,7.6,17770.33,0.99,0.98,0.74,0.84,1874.45
Marissa Bradley,63,37.7,67808.03,3.08,1.12,0.29,0.85,2261.6
Daniel Johnston,18,0.0,22374.79,2.19,1.61,0.71,0.77,2832.07
Wayne Wilson,38,9.3,13191.44,2.77,1.18,0.85,0.98,2539.72
Mrs. Lori Gutierrez MD,34,6.5,89373.94,3.03,1.61,0.61,0.79,2950.17
Taylor Mcdaniel,62,39.6,10753.82,0.97,1.83,0.77,0.49,2287.92
Marcus Jordan,21,0.0,24079.64,1.11,0.83,0.29,0.73,1758.29
Joanne Pierce,31,3.1,67137.93,2.35,0.98,0.74,0.92,2357.11
Margaret Gomez,63,41.1,67248.26,2.51,0.8,0.42,0.27,1941.55
Sandra Sanchez,59,19.8,16900.87,2.99,1.44,0.37,0.76,2496.86
Daniel Lee,50,27.7,25295.79,3.68,1.18,0.56,0.24,2881.32
Nicholas Vasquez,24,0.0,32017.99,0.02,1.43,0.11,0.43,1546.79
Mary Mcmillan,50,21.7,13023.43,0.28,1.46,0.97,0.45,2189.83
James Jones,62,32.0,15643.19,0.38,0.85,0.53,0.62,1425.35
Laura Ferrell,28,0.0,19733.82,1.45,1.41,0.85,0.63,2571.78
Timothy Lopez,31,6.3,29973.47,3.79,1.13,0.14,0.11,3062.84
Scott Paul,35,7.2,47331.92,3.35,1.03,0.51,0.82,2390.27
Cameron Espinoza,48,15.8,48820.1,3.13,1.52,0.81,0.73,2971.62
Sherry Washington,18,0.0,19861.67,3.33,0.81,0.66,0.89,2601.69
Maria Bradley,42,18.0,80335.53,3.02,1.53,0.93,0.12,3181.67
Harold Moss,21,0.0,72071.2,0.94,1.98,0.18,0.29,2619.21
Lawrence Taylor,24,0.0,19956.27,0.5,1.61,0.71,0.17,2685.32
Alan Williams,63,32.0,71041.7,2.17,1.91,0.92,0.92,2921.9
Heather Bennett,55,21.9,55609.93,1.47,1.56,0.81,0.73,2307.76
Katherine Chambers,31,10.7,38907.97,2.64,1.83,0.26,0.27,3125.19
Kathleen Vasquez,65,29.3,17310.12,0.29,1.75,0.62,0.5,2087.28
Patrick Garcia,50,24.1,82601.85,2.52,1.18,0.78,0.45,2545.44
Debra Berg,58,27.0,55950.65,0.79,0.98,0.46,0.61,1684.44
Charles Cross,23,4.4,46982.7,1.08,0.87,0.91,0.98,1708.3
Wendy Bell,52,19.4,22320.36,2.2,1.49,0.8,0.14,2737.97
Michelle Alexander,59,40.4,10836.11,1.98,1.04,0.51,0.86,1906.85
Craig Edwards,42,15.0,17355.36,0.84,1.06,0.72,0.95,1778.5
Sherry Harris,51,15.8,38056.35,1.85,1.08,0.86,0.28,2504.83
Jeffrey Anderson,26,0.7,55869.64,1.35,1.51,0.78,0.39,2684.97
Kim Parsons,33,8.8,26821.06,0.46,1.56,0.36,0.23,2230.71
Billy Thompson,55,27.3,54371.42,2.78,1.24,0.7,0.83,2594.53
Allison Jackson,57,25.2,82344.89,3.82,1.3,0.9,0.28,3254.87
Darlene Phillips,20,1.5,57627.54,2.68,1.45,0.42,0.77,2624.8
Miranda Ruiz,18,0.0,26894.97,3.13,1.25,0.56,0.49,3105.35
Melissa Santiago,65,24.0,17998.59,3.93,1.21,0.26,0.94,2508.02
Kathryn Schwartz,38,7.3,56330.07,0.1,1.93,0.19,0.27,2153.87
Carol Morgan,63,35.6,20339.04,1.27,1.18,0.59,0.79,1771.33
Krystal Rogers,49,26.5,72509.41,3.47,1.6,0.57,0.99,2806.55
Michelle Edwards,52,18.4,84679.86,0.9,1.29,0.51,0.45,1954.74
Michael Black,42,21.2,19224.99,1.56,1.74,0.21,0.96,2171.58
Dr. Jennifer Hawkins,18,0.0,78125.24,3.56,1.83,0.89,0.34,3707.35
Timothy Dennis,26,0.8,86762.13,0.04,0.91,0.81,0.75,1759.91
Cory Adams,26,5.0,39846.34,1.05,1.9,0.77,0.74,2630.16
Perry Gallagher,49,17.6,87308.98,0.59,1.79,0.46,0.23,2283.9
Sara Beasley,57,22.8,50100.04,3.22,1.06,0.84,0.56,2565.11
Christopher Wallace,52,19.0,58277.85,0.09,0.9,0.79,0.99,1344.39
